District/Year,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976
Gurdaspur,71,71,72,72,72,72,72,62,61,61,62,58,58,57,NA,56,54,54,53,49,38,37,35,34,33,32,30,29,28,28,26,25,23,22,20,17,17,16,NA,10,NA,9,9
Pathankot,22,22,22,22,22,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,46,46,46,46,45,42,44,44,44,45,44,43,47,46,NA,45,45,45,43,42,42,41,41,40,41,40,39,39,38,37,36,32,27,24,20,22,21,21,NA,16,NA,14,12
Tarn Taran,55,55,55,54,54,54,54,54,54,54,51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,81,81,81,80,80,80,80,77,78,77,76,76,73,74,NA,73,72,72,70,71,64,60,63,64,62,56,55,52,48,46,45,42,40,39,30,32,31,31,NA,26,NA,21,19
Jalandhar,81,81,79,78,77,77,75,75,73,73,71,70,69,68,NA,66,66,66,65,64,64,62,62,61,57,59,58,60,60,59,54,51,49,45,45,45,43,39,NA,31,NA,23,22
SBS Nagar,90,90,90,81,81,79,81,81,82,83,84,81,86,83,NA,81,47,47,48,48,47,45,45,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,51,51,50,50,50,50,50,50,50,50,49,49,41,41,NA,41,41,41,40,39,36,40,38,37,35,33,30,30,28,28,27,24,24,23,20,19,18,18,NA,15,NA,12,11
Rupnagar,115,115,113,101,101,100,100,100,113,100,100,100,96,98,NA,74,73,73,71,46,44,44,43,42,40,39,39,37,37,36,34,31,29,23,21,19,15,15,NA,16,NA,10,10
SAS Nagar,86,87,87,87,87,96,83,83,83,83,82,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,95,96,96,96,96,96,96,96,96,96,96,96,96,95,NA,95,96,96,88,90,86,84,79,79,78,77,76,75,74,73,68,66,64,57,55,54,49,44,NA,35,NA,30,25
Ferozepur,54,54,53,51,49,49,49,40,40,40,40,40,40,41,NA,41,41,41,40,41,40,39,38,38,38,38,38,39,38,37,36,36,35,34,31,32,30,27,NA,29,NA,20,17
Fazilka,40,38,35,33,33,33,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,100,100,101,101,100,101,99,99,93,93,93,92,94,93,NA,95,96,96,100,99,97,97,95,94,84,79,75,71,66,61,59,56,54,45,45,43,45,38,NA,29,NA,21,18
Sri Muktsar Sahib,93,85,76,75,74,78,72,72,73,72,72,72,72,72,NA,71,72,72,75,75,76,77,76,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,118,105,104,102,102,99,97,97,95,98,97,98,93,95,NA,90,92,92,97,103,92,92,96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,77,77,76,76,75,74,76,76,74,71,68,67,65,63,NA,59,57,57,53,52,47,46,45,44,44,43,43,42,41,40,39,38,37,36,30,31,30,25,NA,17,NA,12,10
Mansa,56,55,55,53,53,52,50,50,50,49,48,47,47,46,NA,45,45,45,44,43,42,42,42,42,41,40,39,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,94,94,94,94,94,94,94,94,94,94,94,94,85,84,NA,83,81,81,76,73,60,57,58,57,55,53,50,47,46,42,39,36,35,35,33,31,29,29,NA,20,NA,16,13
Barnala,79,78,77,74,74,72,71,71,71,70,69,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,116,116,114,113,113,113,89,89,89,89,88,87,85,84,NA,84,84,84,82,83,53,53,52,51,50,49,47,39,53,51,50,47,44,42,42,40,39,36,NA,29,NA,19,16
Fatehgarh Sahib,112,113,112,109,109,109,109,109,109,109,108,108,109,109,NA,103,103,103,101,100,87,87,89,87,84,84,83,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Punjab,79,77,76,75,75,74,72,72,72,72,71,70,69,93,NA,59,66,66,79,63,56,54,55,54,53,51,50,49,47,46,44,41,40,57,30,33,32,29,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
